level_0,level_1,level_2,level_3,level_4,level_5
Bangladesh,Dhaka,Dhaka,Bangshal,Ward No-63,Saat Rawza
Bangladesh,Dhaka,Dhaka,Bangshal,Ward No-66,Babu Bazzar
Bangladesh,Dhaka,Dhaka,Bangshal,Ward No-67,Naya Bazar
Bangladesh,Dhaka,Dhaka,Bangshal,Ward No-68,Naya Bazaar
Bangladesh,Dhaka,Dhaka,Bangshal,Ward No-69,Chandkhar Pool
Bangladesh,Dhaka,Dhaka,Bangshal,Ward No-70,Siddique Bazar
Bangladesh,Dhaka,Dhaka,Bangshal,Ward No-71,Malitola
Bangladesh,Dhaka,Dhaka,Biman Bandar,Dakshinkhan,Ashkona
Bangladesh,Dhaka,Dhaka,Chak Bazar,Ward No-63,Bakshi Bazar
Bangladesh,Dhaka,Dhaka,Chak Bazar,Ward No-64,Khaje Dewan
Bangladesh,Dhaka,Dhaka,Chak Bazar,Ward No-65,Islambag
Bangladesh,Dhaka,Dhaka,Chak Bazar,Ward No-66,Babu Bazaar
Bangladesh,Dhaka,Dhaka,Bangshal,Ward No-67,Chawk Bazar
Bangladesh,Dhaka,Dhaka,Dakshinkhan,Dakshinkhan,Ashiyan City
Bangladesh,Dhaka,Dhaka,Demra,Demra,Paity
Bangladesh,Dhaka,Dhaka,Demra,Matuail,Sarulia
Bangladesh,Dhaka,Dhaka,Dhanmondi,Ward No-47,West Dhanmondi
Bangladesh,Dhaka,Dhaka,Dhanmondi,Ward No-49,Kalabagan
Bangladesh,Dhaka,Dhaka,Gendaria,Ward No-76,Narinda
Bangladesh,Dhaka,Dhaka,Gendaria,Ward No-80,Narinda
Bangladesh,Dhaka,Dhaka,Gendaria,Ward No-81,Dayaganj
Bangladesh,Dhaka,Dhaka,Gendaria,Ward No-82,Farashganj
Bangladesh,Dhaka,Dhaka,Gulshan,Ward No-18,Baridhara
Bangladesh,Dhaka,Dhaka,Gulshan,Ward No-19,Gulshan-2
Bangladesh,Dhaka,Dhaka,Jatrabari,Dhania,Doniya
Bangladesh,Dhaka,Dhaka,Jatrabari,Ward No-84,Bibir Bagicha
Bangladesh,Dhaka,Dhaka,Jatrabari,Ward No-85,Golapbag
Bangladesh,Dhaka,Dhaka,Jatrabari,Ward No-86,South Jatrabari
Bangladesh,Dhaka,Dhaka,Kadamtali,Dhania,Purbo Jurain
Bangladesh,Dhaka,Dhaka,Kadamtali,Matuail,Meraj Nagar
Bangladesh,Dhaka,Dhaka,Kadamtali,Shyampur,Shyampur
